title,community,business_area,layout,area_m2,rent,orientation,subway,url,platform,district,longitude,latitude,geocode_query,geocode_precision,geocode_level,work,commute,geocode_error
周康四村 2室1厅,周康四村,康桥,2室1厅,56,3800,朝南,18号线康桥站约779米,https://sh.zu.fang.com/chuzu/3_432027167_1.htm,房天下,浦东,121.570924,31.140455,上海浦东周康四村,community,村庄,5.60km,距张江昆仑芯约5.60km,
中虹家园 2室1厅,中虹家园,曹路,2室1厅,70,3300,朝南,,https://sh.zu.fang.com/chuzu/3_431955359_1.htm,房天下,浦东,121.672473,31.28274,上海浦东中虹家园,community,住宅区,12.97km,距张江昆仑芯约12.97km,
金海华城福民佳苑 2室1厅,金海华城福民佳苑,曹路,2室1厅,75,3500,朝南,,https://sh.zu.fang.com/chuzu/3_432628645_1.htm,房天下,浦东,121.68243,31.265182,上海浦东金海华城福民佳苑,community,住宅区,11.86km,距张江昆仑芯约11.86km,
金海华城康平佳苑 2室1厅,金海华城康平佳苑,曹路,2室1厅,80,4000,朝南,,https://sh.zu.fang.com/chuzu/3_432027184_1.htm,房天下,浦东,121.687927,31.264253,上海浦东金海华城康平佳苑,community,住宅区,12.11km,距张江昆仑芯约12.11km,
中虹家园 2室1厅,中虹家园,曹路,2室1厅,87,3900,朝南,,https://sh.zu.fang.com/chuzu/3_432613162_1.htm,房天下,浦东,121.672473,31.28274,上海浦东中虹家园,community,住宅区,12.97km,距张江昆仑芯约12.97km,
周康五村 2室2厅,周康五村,康桥,2室2厅,82,3800,朝南,18号线康桥站约705米,https://sh.zu.fang.com/chuzu/3_432023924_1.htm,房天下,浦东,121.576302,31.133728,上海浦东周康五村,community,村庄,5.95km,距张江昆仑芯约5.95km,
金海华城华美新苑 2室1厅,金海华城华美新苑,曹路,2室1厅,58,4000,朝南,,https://sh.zu.fang.com/chuzu/3_431955338_1.htm,房天下,浦东,121.673785,31.280018,上海浦东金海华城华美新苑,community,住宅区,12.77km,距张江昆仑芯约12.77km,
周康四村 2室1厅,周康四村,康桥,2室1厅,56,3700,朝南,18号线康桥站约779米,https://sh.zu.fang.com/chuzu/3_432027169_1.htm,房天下,浦东,121.570924,31.140455,上海浦东周康四村,community,村庄,5.60km,距张江昆仑芯约5.60km,
阳光苑二期 2室1厅,阳光苑二期,曹路,2室1厅,89,4000,朝南,9号线顾唐路站约776米,https://sh.zu.fang.com/chuzu/3_432626484_1.htm,房天下,浦东,121.651611,31.273096,上海浦东阳光苑二期,community,住宅区,11.14km,距张江昆仑芯约11.14km,
和盛佳苑 2室2厅,和盛佳苑,曹路,2室2厅,78,3000,朝南,,https://sh.zu.fang.com/chuzu/3_432567691_1.htm,房天下,浦东,121.544346,31.221461,上海浦东和盛佳苑,community,区县,7.43km,距张江昆仑芯约7.43km,
金海华城恒裕嘉园 2室2厅,金海华城恒裕嘉园,曹路,2室2厅,96,4000,朝南,,https://sh.zu.fang.com/chuzu/3_432628628_1.htm,房天下,浦东,121.694573,31.257027,上海浦东金海华城恒裕嘉园,community,住宅区,11.94km,距张江昆仑芯约11.94km,
玉兰香苑四期 2室1厅,玉兰香苑四期,张江,2室1厅,38,2600,朝南,,https://sh.zu.fang.com/chuzu/3_432615231_1.htm,房天下,浦东,121.638111,31.200666,上海浦东玉兰香苑四期,community,住宅区,3.76km,距张江昆仑芯约3.76km,
川杨紫薇苑 2室2厅,川杨紫薇苑,张江,2室2厅,15,2300,朝南,13号线张江路站约830米,https://sh.zu.fang.com/chuzu/3_432572710_1.htm,房天下,浦东,121.636369,31.190988,上海浦东川杨紫薇苑,community,住宅区,3.09km,距张江昆仑芯约3.09km,
古桐三村 2室1厅,古桐三村,张江,2室1厅,37,2480,朝南,,https://sh.zu.fang.com/chuzu/3_432586498_1.htm,房天下,浦东,121.616993,31.199567,上海浦东古桐三村,community,住宅区,2.33km,距张江昆仑芯约2.33km,
申城佳苑二期A块 2室2厅,申城佳苑二期A块,张江,2室2厅,15,2300,朝南,,https://sh.zu.fang.com/chuzu/3_432586507_1.htm,房天下,浦东,121.639365,31.183729,上海浦东申城佳苑二期A块,community,住宅区,3.17km,距张江昆仑芯约3.17km,
香楠小区 2室1厅,香楠小区,张江,2室1厅,60,3000,朝南,2号线广兰路站约945米,https://sh.zu.fang.com/chuzu/3_432615213_1.htm,房天下,浦东,121.614526,31.216673,上海浦东香楠小区,community,住宅区,4.07km,距张江昆仑芯约4.07km,
川杨紫薇苑 2室2厅,川杨紫薇苑,张江,2室2厅,15,2000,朝南,13号线张江路站约830米,https://sh.zu.fang.com/chuzu/3_432571713_1.htm,房天下,浦东,121.636369,31.190988,上海浦东川杨紫薇苑,community,住宅区,3.09km,距张江昆仑芯约3.09km,
绿地M-TOWN商住楼 2室2厅,绿地M-TOWN商住楼,张江,2室2厅,15,2600,朝南,,https://sh.zu.fang.com/chuzu/3_432572725_1.htm,房天下,浦东,121.498705,31.158385,上海浦东绿地M-TOWN商住楼,community,住宅区,10.53km,距张江昆仑芯约10.53km,
阳光花城 2室2厅,阳光花城,张江,2室2厅,30,2600,朝南,2号线广兰路站约307米,https://sh.zu.fang.com/chuzu/3_510770687_1.htm,房天下,浦东,121.623061,31.208623,上海浦东阳光花城,community,住宅区,3.49km,距张江昆仑芯约3.49km,
